City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
274,Oranjemund,NA,-28.55,16.4333,60.6,92,34,4.52,scattered clouds
275,Asau,RO,46.4333,26.4,40.28,89,52,2.42,broken clouds
276,Batuan,PH,9.7808,124.1484,75.78,90,100,4.25,overcast clouds
277,Souillac,MU,-20.5167,57.5167,71.06,63,87,15.32,overcast clouds
278,Menongue,AO,-14.6585,17.691,65.89,73,75,5.12,broken clouds
279,College,US,64.8569,-147.8028,28.58,91,100,5.75,light snow
280,De Aar,ZA,-30.6497,24.0123,68.36,26,76,7.02,broken clouds
281,Sitka,US,57.0531,-135.33,46.29,76,100,17.27,moderate rain
282,Saint-Louis,SN,16.3333,-15.0,85.41,16,62,8.61,broken clouds
283,Hue,VN,16.4667,107.6,77.11,94,75,1.14,broken clouds
284,Nouadhibou,MR,20.931,-17.0347,70.34,70,0,13.35,clear sky
285,Iqaluit,CA,63.7506,-68.5145,1.49,96,70,12.08,broken clouds
286,Urucui,BR,-7.2294,-44.5561,82.36,61,82,4.65,broken clouds
287,Mandera,KE,3.9366,41.867,79.75,63,2,8.61,clear sky
288,Sistranda,NO,63.7256,8.834,44.56,87,100,18.75,overcast clouds
289,Siniscola,IT,40.5719,9.6922,54.95,84,93,4.94,light rain
290,Mount Gambier,AU,-37.8333,140.7667,50.41,68,94,11.61,overcast clouds
291,Maumere,ID,-8.6199,122.2111,82.54,78,57,3.09,broken clouds
292,Te Anau,NZ,-45.4167,167.7167,66.85,43,100,8.05,light rain
293,Springbok,ZA,-29.6643,17.8865,58.68,46,61,2.95,broken clouds
294,Huilong,CN,31.8111,121.655,48.92,63,69,6.62,broken clouds
295,Acari,PE,-15.4311,-74.6158,69.08,72,3,5.64,clear sky
296,Kruisfontein,ZA,-34.0033,24.7314,63.88,80,83,6.87,broken clouds
297,Isangel,VU,-19.55,169.2667,81.41,64,1,7.11,clear sky
298,Gimli,CA,50.6336,-96.9907,24.42,76,100,7.34,overcast clouds
299,Inuvik,CA,68.3499,-133.7218,18.36,93,100,13.8,light snow
300,Tikhvin,RU,59.6451,33.5294,31.21,89,100,5.17,overcast clouds
301,Mana,GF,5.6592,-53.7767,79.32,86,33,12.19,scattered clouds
302,Portland,US,45.5234,-122.6762,57.56,52,20,20.71,few clouds
303,Gunjur,GM,13.2019,-16.7339,80.56,70,89,10.74,overcast clouds
304,Hare Bay,CA,48.8499,-54.0148,36.19,82,95,13.44,overcast clouds
305,Alyangula,AU,-13.8483,136.4192,83.3,70,95,2.19,overcast clouds
306,Cayenne,GF,4.9333,-52.3333,80.64,83,0,8.05,clear sky
307,Mbuji-Mayi,CD,-6.15,23.6,69.42,97,95,2.35,moderate rain
308,San Cristobal,VE,7.7669,-72.225,71.78,92,51,1.34,broken clouds
309,Dauriya,RU,49.9333,116.8667,3.63,92,38,3.87,scattered clouds
310,Columbus,US,39.9612,-82.9988,38.8,64,20,6.91,few clouds
311,Hamilton,US,39.1834,-84.5333,40.87,64,0,4.61,clear sky
312,Kaputa,ZM,-8.4689,29.6619,68.72,87,79,2.89,light rain
313,Walvis Bay,NA,-22.9575,14.5053,60.1,90,0,4.38,clear sky
